pkts,bytes,dur,average_dur,stddev_dur,total_dur,min_dur,max_dur,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPSrcIP,TnBPDstIP,TnP_PSrcIP,TnP_PDstIP,TnP_PerProto,TnP_Per_Dport,AR_P_Proto_P_SrcIP,AR_P_Proto_P_DstIP,N_IN_Conn_P_DstIP,N_IN_Conn_P_SrcIP,AR_P_Proto_P_Sport,AR_P_Proto_P_Dport,Pkts_P_State_P_Protocol_P_DestIP,Pkts_P_State_P_Protocol_P_SrcIP,attack
11,660,13.718378,3.668789,0.646311,11.006368,2.755322,4.153121,11,0,660,0,0.728949,0.728949,0.0,65700,65700,1095,1095,1095,1095,0.798199,0.798199,100,100,0.801844,0.798199,1095,1095,1
8,480,14.410395,3.433835,0.996252,10.301506,2.025257,4.164726,8,0,480,0,0.48576,0.48576,0.0,48000,48000,800,800,800,800,0.555003,0.555003,100,100,0.5551550000000001,0.555003,800,800,1
8,480,14.279263,3.3978300000000004,1.002584,10.193489,1.98051,4.140638,8,0,480,0,0.490221,0.490221,0.0,44640,50940,744,849,849,849,0.560055,0.595534,100,93,0.560253,0.595534,849,744,1
4,616,38.999619,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.076924,0.076924,0.0,13552,71440,88,564,564,564,0.102565,0.13101,100,22,0.102565,0.13101,532,88,1
13,780,13.7403,3.910069,0.702205,11.730207,3.002374,4.712781,13,0,780,0,0.873343,0.873343,0.0,78000,78000,1300,1300,1300,1300,0.946322,0.946322,100,100,0.946122,0.946322,1300,1300,1
9,540,12.446734,3.228464,1.31084,9.68539,1.3747200000000002,4.168814,9,0,540,0,0.6427390000000001,0.6427390000000001,0.0,54000,54000,900,900,900,900,0.7230810000000001,0.7230810000000001,100,100,0.7230810000000001,0.7230810000000001,900,900,1
5,770,13.079187,2.214503,1.569192,6.643510000000001,0.0,3.446356,5,0,770,0,0.305829,0.305829,0.0,77000,77000,500,500,500,500,0.382295,0.382295,100,100,0.382287,0.382295,500,500,1
15,900,13.966882,3.98899,0.816747,11.966969,2.989227,4.989842,15,0,900,0,1.002371,1.002371,0.0,90000,90000,1500,1500,1500,1500,1.07397,1.07397,100,100,1.07397,1.07397,1500,1500,1
15,900,13.962158,3.984667,1.417768,11.954,1.979669,4.996414,15,0,900,0,1.00271,1.00271,0.0,76500,85620,1275,1427,1427,1427,1.07433,1.03724,100,85,1.07433,1.03724,1427,1275,1
6,360,10.604792,4.2979660000000015,0.259566,8.595931,4.038399,4.557532,6,0,360,0,0.471485,0.471485,0.0,36000,36000,600,600,600,600,0.565782,0.565782,100,100,0.565782,0.565782,600,600,1
